                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.42441,                0.47563,                0.28775,                 0.7963,                0.99649,                0.98958,                 0.9949,                0.90212,                0.99419,                0.97917,                0.99395,                0.80501,                0.39872,                0.52605,                0.27275,                0.80604,              0.0003962,              0.0003962,              0.0003962
                     83,                0.44671,                0.49848,                0.29708,                0.79896,                 0.9996,                0.98958,                0.99497,                0.90437,                0.99294,                0.97917,                0.99151,                0.80058,                0.40052,                0.48343,                0.26832,                0.80731,              0.0003764,              0.0003764,              0.0003764
                     84,                0.44249,                 0.4797,                0.29756,                0.79405,                 0.9994,                0.99306,                  0.995,                0.90134,                 0.9889,                0.98264,                0.99217,                0.79755,                    0.4,                 0.5046,                0.27765,                0.80725,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.4463,                0.49414,                0.29404,                0.79886,                      1,                0.99302,                  0.995,                0.90791,                0.99213,                0.98264,                0.99201,                0.80805,                0.39484,                0.50317,                0.27609,                0.80562,              0.0003368,              0.0003368,              0.0003368
                     86,                0.44596,                0.49212,                0.29365,                0.79478,                0.99873,                0.98958,                0.99497,                0.90808,                0.99301,                0.98589,                0.99319,                0.80126,                0.40477,                0.52334,                0.27554,                0.80729,               0.000317,               0.000317,               0.000317
                     87,                0.45049,                0.50996,                0.29478,                0.79435,                0.99619,                0.99306,                0.99497,                  0.903,                0.99163,                0.98264,                0.99288,                0.80618,                0.39883,                0.51455,                0.27384,                0.80667,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.4425,                0.49087,                0.29452,                 0.7943,                0.99869,                0.99306,                  0.995,                0.90028,                0.99649,                0.98511,                0.99466,                0.80523,                0.41562,                0.51136,                 0.2719,                0.80471,              0.0002774,              0.0002774,              0.0002774
                     89,                0.44728,                0.49387,                0.29483,                0.79461,                0.99721,                0.99306,                  0.995,                0.90281,                 0.9926,                0.98264,                0.99272,                0.79905,                0.40761,                0.54264,                0.26285,                0.80591,              0.0002576,              0.0002576,              0.0002576
                     90,                0.43392,                0.48559,                0.28895,                0.79577,                0.99536,                      1,                  0.995,                0.90083,                 0.9965,                0.98822,                0.99466,                0.80317,                0.40408,                0.55026,                 0.2658,                0.80649,              0.0002378,              0.0002378,              0.0002378
                     91,                0.40208,                 0.4674,                0.27311,                0.78116,                0.99654,                0.99937,                  0.995,                0.90511,                0.99381,                0.98958,                0.99456,                0.79847,                0.40562,                0.54554,                0.26722,                0.80736,               0.000218,               0.000218,               0.000218
                     92,                0.40103,                0.46514,                0.26608,                0.78458,                0.99908,                0.99306,                  0.995,                0.90505,                0.99209,                0.98611,                0.99068,                0.79661,                0.39858,                0.53489,                0.26479,                0.80641,              0.0001982,              0.0001982,              0.0001982
                     93,                0.39825,                0.46645,                0.26687,                 0.7828,                0.99464,                0.99653,                0.99497,                0.90075,                0.99219,                0.98264,                0.99099,                0.79403,                0.39969,                0.53758,                 0.2757,                0.80684,              0.0001784,              0.0001784,              0.0001784
                     94,                0.39532,                0.45287,                 0.2639,                0.78479,                0.99239,                0.99306,                0.99493,                0.89878,                0.99288,                0.97917,                0.99091,                0.79979,                0.40419,                0.52925,                 0.2725,                0.80632,              0.0001586,              0.0001586,              0.0001586
                     95,                0.40813,                0.46434,                0.26732,                0.78383,                0.99307,                0.99581,                0.99497,                0.89601,                0.99256,                0.98264,                0.99066,                0.79419,                0.40168,                0.53914,                0.27126,                0.80667,              0.0001388,              0.0001388,              0.0001388
                     96,                0.39752,                0.45536,                0.26151,                0.78359,                0.99276,                      1,                0.99497,                0.89786,                0.99246,                0.98264,                0.99103,                0.79453,                0.41215,                0.54038,                0.27095,                0.80592,               0.000119,               0.000119,               0.000119
                     97,                0.39196,                0.45948,                0.26177,                 0.7858,                0.99653,                0.99577,                0.99497,                0.90001,                0.99263,                0.97917,                0.98918,                0.79562,                0.40687,                0.52206,                0.26649,                0.80797,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.39459,                0.44829,                0.26384,                0.78599,                      1,                0.99583,                  0.995,                0.90141,                0.98954,                0.98542,                 0.9891,                0.79786,                0.40766,                0.51465,                 0.2697,                0.80731,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.38234,                0.45172,                0.25507,                0.78174,                0.99654,                0.99911,                  0.995,                0.90513,                0.99264,                0.97917,                0.98928,                0.80158,                0.39832,                0.51069,                0.27186,                0.80719,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.38549,                0.46483,                0.25721,                0.78222,                0.99846,                0.99306,                  0.995,                0.90458,                0.99284,                0.97917,                0.98913,                0.80172,                0.40205,                0.51998,                0.26165,                0.80664,               3.98e-05,               3.98e-05,               3.98e-05
